Property,Property Score,Unit Type,Location,Date Posted,Monthly Rent
Rosewood Terrace,3.9,1BR/1BA,"Nashville, TN",30d+,"$1,375 - $1,725 (RentPulse est.)"
Oakhaven Apartments,3.5,4 Bedroom House,"Des Moines, IA",2d,"$1,800 - $2,575 (Landlord est.)"
Mill District Lofts,,3 Bed / 2 Bath,"Ithaca, NY",2d,"$1,650 - $2,325 (Landlord est.)"
"Sandalwood Apartments, South Campus",3.5,Two Bedroom,"Columbus, OH",5d,"$1,225 - $1,375 (Landlord est.)"
Pebble Brook Village,2.3,1 Bedroom Loft,"Albuquerque, NM",2d,"$850 - $1,200 (RentPulse est.)"
Waterford Place,4.9,2 Bedroom Townhome,"Aguadilla, PR",10d,"$950 - $1,050 (Landlord est.)"
Brightwater Flats,4.3,1BR,"Raleigh, NC",1d,
Barrett Square Apartments,3.2,2 Bed / 1 Bath,"Indianapolis, IN",10d,"$1,100 - $1,500 (Landlord est.)"
Sunset Ridge Apartments,4.1,2BR/2BA,"Aguadilla, PR",10d,"$825 - $1,200 (Landlord est.)"
The Windermere,3.7,3 Bed / 2 Bath,"Charlotte, NC",2d,"$1,750 - $2,450 (Landlord est.)"
The Dover,3.6,Two Bedroom,"Bloomington, IN",2d,"$1,200 - $1,675 (RentPulse est.)"
Meridian Court,3.0,Studio - Renovated,"Scranton, PA",5d,$725 - $875 (RentPulse est.)
The Merchant Lofts,3.4,2 bed 2 bath,"Dayton, OH",3d,"$925 - $1,250 (Landlord est.)"
Cypress Creek Village,4.1,2 Bedroom Apartment,"San Jose, CA",11d,"$2,400 - $3,325 (RentPulse est.)"
The Weatherby,,2 Bed / 1 Bath,"St. Louis, MO",12d,"$1,125 - $1,475 (Landlord est.)"
Pebble Brook Village,3.4,"Two Bed, Two Bath (Top Floor)","Boston, MA",26d,"$2,400 - $3,200 (Landlord est.)"
"Pinnacle Living, Inc.",3.6,2 Bedroom Apartment,"Miami, FL",30d+,
The Landmark at Midtown,2.3,5 Bed / 3 Bath,"Seattle, WA",4d,"$3,100 - $3,475 (Landlord est.)"
"The Grove at Erie, Building C",2.6,2 Bedroom - Washer/Dryer in Unit,"San Francisco, CA",2d,"$2,300 - $3,175 (Landlord est.)"
Vintage Brick Lofts,3.2,2BD/2BA,"Cleveland, OH",14d,"$1,300 - $1,575 (Landlord est.)"
The Sterling,,Five Bedroom House,"Boston, MA",5d,"$3,525 - $4,275 (Landlord est.)"
Summit House,3.7,Studio - Renovated,"Memphis, TN",16d,$700 - $950 (Landlord est.)
The Larkspur,4.4,2 Bed / 1.5 Bath,"Cleveland, OH",2d,
The Coventry,4.0,3BR/2.5BA,"Tampa, FL",8d,"$2,125 - $2,700 (RentPulse est.)"
Greenway Crossing,3.7,2BR/2BA,"Minneapolis, MN",8d,"$1,400 - $1,750 (RentPulse est.)"
The Rowan,3.6,One Bedroom / One Bath,"Pittsburgh, PA",7d,"$900 - $1,200 (Landlord est.)"
Harborview Commons,2.6,2 Bed / 2 Bath,Minneapolis-Saint Paul,4d,"$1,650 - $2,125 (RentPulse est.)"
The Carlisle,2.8,1 Bedroom - Upgraded Finishes,"San Diego, CA",30d+,"$1,750 - $2,200 (Landlord est.)"
The Weatherby,3.2,"Two Bed, Two Bath (Top Floor)","Denver, CO",30d+,"$1,625 - $2,250 (Landlord est.)"
Birchwood Estates,4.1,1BR/1BA,"Milwaukee, WI",9d,"$875 - $1,300 (Landlord est.)"
Brookside Manor,3.0,1 Bed / 1 Bath - Renovated,"Morgantown, WV",9d,"$850 - $1,250 (Landlord est.)"
"Crown Ridge Residential, LLC",3.6,Studio Apartment,"Morgantown, WV",12d,$725 - $950 (RentPulse est.)
The Juniper,4.2,One Bedroom / One Bath,"Phoenix, AZ",10d,"$1,100 - $1,275 (RentPulse est.)"
Kingsley Park Apartments,,studio,Minneapolis-Saint Paul,28d,"$1,075 - $1,275 (RentPulse est.)"
The Bellamy,3.0,STUDIO,"Little Rock, AR",3d,
Arbor Lane Apartments,2.6,Studio Apartment,"Bakersfield, CA",2d,"$875 - $1,300 (RentPulse est.)"
Rosewood Terrace,4.1,Two Bedroom Apartment Home,"Tucson, AZ",4d,"$1,200 - $1,575 (Landlord est.)"
Clearview Heights,3.8,4 Bed / 2 Bath,"Portland, OR",12d,"$2,375 - $3,200 (Landlord est.)"
The Rowan,4.0,One Bedroom Townhome,"Cary, NC",6d,"$1,025 - $1,325 (Landlord est.)"
Brookside Manor,,2BD/2BA,"Dallas, TX",12d,"$1,450 - $1,775 (Landlord est.)"
Union Yards,2.5,2 Bedroom Townhome,"St. Louis, MO",10d,"$1,050 - $1,500 (RentPulse est.)"
Arbor Lane Apartments,3.6,One Bedroom Apartment Home,"Indianapolis, IN",9d,"$925 - $1,325 (Landlord est.)"
"Pinnacle Living, Inc.",4.1,1 Bedroom Apartment,Greater Boston Area,20d,"$1,625 - $1,975 (Landlord est.)"
The Larkspur,4.4,4 Bed / 4 Bath - Student Housing,"Sacramento, CA",6d,"$2,825 - $3,300 (RentPulse est.)"
Greenway Crossing,4.2,Studio (Utilities Included),"Albuquerque, NM",14d,"$850 - $1,125 (Landlord est.)"
The Sterling,3.6,1 Bed / 1 Bath,"Spokane, WA",14d,"$900 - $1,050 (RentPulse est.)"
"Hartwell Properties, Inc.",3.5,1 Bed / 1 Bath,"Los Angeles, CA",2d,
Quarry Hill Apartments,4.6,1 Bed / 1 Bath,"Aguadilla, PR",3d,"$750 - $1,000 (RentPulse est.)"
Fieldstone Commons,2.8,1 bed 1 bath,"Reno, NV",6d,"$1,225 - $1,800 (Landlord est.)"
Spring Garden Commons,4.5,One Bedroom / One Bath,"Houston, TX",8d,"$975 - $1,200 (RentPulse est.)"
Brookside Manor,4.6,1 Bed / 1 Bath + Den,"Denver, CO",28d,"$1,300 - $1,600 (RentPulse est.)"
Canal Street Flats,,TWO BEDROOM,"Colorado Springs, CO",20d,"$1,250 - $1,575 (Landlord est.)"
Spring Garden Commons,4.1,3BR/2BA,"Morgantown, WV",2d,"$1,300 - $1,725 (Landlord est.)"
The Coventry,4.3,1 Bed / 1.5 Bath,"Richmond, VA",30d+,"$1,075 - $1,550 (Landlord est.)"
Autumn Ridge Apartments,4.2,2 Bed / 1.5 Bath,"Fresno, CA",30d+,"$1,525 - $2,175 (Landlord est.)"
Greenway Crossing,4.4,3 Bedroom Townhouse,"Alpharetta, GA",1d,"$1,700 - $2,200 (Landlord est.)"
The Beacon on Main,3.6,2BD/2BA,"St. Louis, MO",30d+,"$1,025 - $1,350 (Landlord est.)"
The Ellsworth,4.7,Junior Studio,"Athens, GA",30d+,
Hawthorne Place,3.9,Studio,"Phoenix, AZ",9d,"$1,000 - $1,400 (RentPulse est.)"
The Alder,3.5,3BR/2BA,"Phoenix, AZ",10d,"$2,175 - $2,650 (Landlord est.)"
Kingsley Park Apartments,3.3,Efficiency,"Akron, OH",9d,$700 - $925 (Landlord est.)
Cypress Creek Village,3.0,3BD/2BA,"Toledo, OH",3d,"$1,375 - $1,900 (RentPulse est.)"
The Juniper,4.8,3 Bedroom House,"Dallas, TX",6d,"$1,800 - $2,000 (Landlord est.)"
The Carlisle,3.9,One Bedroom,Greater Boston Area,10d,"$1,550 - $2,250 (Landlord est.)"
"Lakeview Commons, Phase II",3.1,1 Bedroom - Upgraded Finishes,"Bakersfield, CA",30d+,"$1,150 - $1,475 (RentPulse est.)"
Vintage Brick Lofts,3.1,1BR/1BA,"Houston, TX",8d,"$1,125 - $1,550 (Landlord est.)"
The Overlook at Shadyside,2.8,Studio (Utilities Included),"Atlanta, GA",9d,"$1,050 - $1,275 (RentPulse est.)"
The Paxton,4.1,STUDIO,"Sacramento, CA",2d,"$1,125 - $1,350 (Landlord est.)"
The Beacon on Main,4.1,2BR/2BA,"Manassas, VA",16d,"$1,900 - $2,575 (RentPulse est.)"
Pinecrest Gardens,4.3,Efficiency,"Atlanta, GA",3d,"$875 - $1,175 (Landlord est.)"
Sunset Ridge Apartments,2.8,2 Bedroom Apartment,"Philadelphia, PA",3d,"$1,550 - $1,950 (Landlord est.)"
Brookside Manor,3.3,3 Bedroom House,"Sacramento, CA",30d+,"$2,400 - $2,950 (RentPulse est.)"
Foxwood Crossing,3.3,4BR/4BA (Per Bed Lease),"Fort Wayne, IN",3d,"$1,475 - $1,725 (RentPulse est.)"
Canal Street Flats,3.9,2 Bed / 1 Bath,"Manassas, VA",30d+,
Kingsley Park Apartments,4.8,Two Bedroom Apartment Home,Multiple Locations,2d,"$1,450 - $2,075 (RentPulse est.)"
Thistlewood Commons,3.4,"2 Bed, 2 Bath, Den",,12d,"$1,275 - $1,900 (Landlord est.)"
The Paxton,4.9,Micro Studio,"Boston, MA",3d,"$1,425 - $1,725 (RentPulse est.)"
Mill District Lofts,4.2,Two Bedroom / Two Bath,"Memphis, TN",13d,
The Whitmore,3.0,1 Bedroom Loft,"Pittsburgh, PA",2d,"$900 - $1,050 (Landlord est.)"
Hawthorne Place,,3 Bed / 2 Bath,"Orlando, FL",4d,"$1,900 - $2,700 (Landlord est.)"
Brightwater Flats,4.4,"One Bed, One Bath","Erie, PA",4d,"$725 - $1,000 (RentPulse est.)"
Greenway Crossing,3.7,3 Bedroom Apartment,"Reno, NV",30d+,
The Sterling,4.0,1BR/1BA,"Philadelphia, PA",3d,"$1,150 - $1,475 (Landlord est.)"
The Beacon on Main,3.2,Studio (Utilities Included),"Richmond, VA",1d,"$950 - $1,125 (Landlord est.)"
Highland Row,3.2,2 Bed / 1 Bath,"Alpharetta, GA",4d,"$1,725 - $2,125 (Landlord est.)"
The Overlook at Shadyside,4.0,Two Bedroom,Minneapolis-Saint Paul,10d,"$1,300 - $1,450 (Landlord est.)"
Brookside Manor,4.2,2 Bedroom Apartment,"Madison, WI",2d,"$1,525 - $1,675 (RentPulse est.)"
The Juniper,4.2,3 Bedroom House,"New York, NY",30d+,"$2,750 - $3,425 (Landlord est.)"
Kingsley Park Apartments,3.3,2 bed 2 bath,"State College, PA",30d+,"$1,450 - $2,125 (Landlord est.)"
Spring Garden Commons,4.0,Three Bedroom,"Madison, WI",30d+,"$1,925 - $2,575 (Landlord est.)"
The Ellsworth,,One Bedroom Townhome,"Minneapolis, MN",5d,
The Landmark at Midtown,4.1,1 Bedroom - Upgraded Finishes,"Las Vegas, NV",3d,"$1,000 - $1,125 (RentPulse est.)"
Greenway Crossing,3.3,3 Bedroom Apartment,"Aguadilla, PR",4d,"$1,075 - $1,275 (Landlord est.)"
Harborview Commons,4.3,1 Bed / 1 Bath - Renovated,"Athens, GA",30d+,"$975 - $1,450 (Landlord est.)"
"The Grove at Erie, Building C",3.1,1 Bed / 1 Bath - Renovated,"Madison, WI",30d+,"$1,200 - $1,375 (Landlord est.)"
The Rowan,4.1,4 Bedroom House,"Raleigh, NC",11d,"$2,125 - $2,450 (Landlord est.)"
The Juniper,4.1,One Bedroom / One Bath,"Ann Arbor, MI",12d,"$1,075 - $1,200 (Landlord est.)"
The Ardmore,4.2,1 Bedroom Apartment,"Toledo, OH",2d,
,2.6,2BR/1BA,"Seattle, WA",13d,"$1,975 - $2,850 (RentPulse est.)"
The Merchant Lofts,4.1,TWO BEDROOM,"Las Vegas, NV",1d,"$1,325 - $1,650 (Landlord est.)"
The Weatherby,3.3,1 Bedroom - Upgraded Finishes,"Birmingham, AL",3d,"$775 - $1,075 (Landlord est.)"
The Whitmore,4.6,One Bedroom Apartment Home,"Madison, WI",11d,"$1,225 - $1,725 (Landlord est.)"
Hawthorne Place,2.7,1BR,"Ithaca, NY",10d,"$925 - $1,375 (RentPulse est.)"
Clearview Heights,3.7,TWO BEDROOM,"Providence, RI",7d,
Meridian Court,4.1,One Bedroom,"Boise, ID",16d,
"The Grove at Erie, Building C",3.9,1BR/1BA,,30d+,
The Overlook at Shadyside,3.9,Two Bedroom Apartment Home,"Madison, WI",30d+,"$1,200 - $1,475 (RentPulse est.)"
Sunset Ridge Apartments,4.2,1 bed 1 bath,"San Francisco, CA",2d,"$1,925 - $2,725 (RentPulse est.)"
Verdant Square,3.7,1 Bed / 1 Bath - Renovated,"Manassas, VA",8d,"$1,550 - $2,150 (Landlord est.)"
Parkview Terrace,3.6,3 Bed / 2 Bath,"Milwaukee, WI",9d,"$1,675 - $2,075 (Landlord est.)"
"The Grove at Erie, Building C",3.5,Two Bedroom,"Las Vegas, NV",30d+,"$1,500 - $2,025 (Landlord est.)"
Verdant Square,4.8,3 Bed / 2.5 Bath,"Las Vegas, NV",30d+,"$2,000 - $2,500 (Landlord est.)"
The Hollis,3.9,studio,"St. Louis, MO",8d,$700 - $900 (RentPulse est.)
The Sterling,4.6,1BR,"New York, NY",14d,"$2,150 - $2,625 (RentPulse est.)"
The Landmark at Midtown,3.3,2 bed 2 bath,"Tucson, AZ",5d,"$1,250 - $1,375 (Landlord est.)"
Verdant Square,4.1,Studio Apartment,"Boise, ID",11d,"$825 - $1,000 (RentPulse est.)"
The Merchant Lofts,4.1,2 Bedroom Townhome,"Salt Lake City, UT",30d+,"$1,300 - $1,450 (Landlord est.)"
Thistlewood Commons,3.8,Three Bedroom Townhome,"Dallas, TX",12d,"$1,875 - $2,375 (RentPulse est.)"
"Sandalwood Apartments, South Campus",3.1,3 Bedroom Townhouse,"Tampa, FL",5d,"$1,950 - $2,450 (Landlord est.)"
"The Grove at Erie, Building C",3.4,Five Bedroom House,"Washington, DC",6d,"$3,075 - $3,500 (Landlord est.)"
Autumn Ridge Apartments,3.9,Studio,"Chicago, IL",4d,"$1,050 - $1,350 (RentPulse est.)"
The Windermere,3.4,3 bed 2 bath,"Sacramento, CA",6d,"$2,175 - $3,000 (RentPulse est.)"
Bayside Apartment Homes,3.8,Two Bedroom,"Reno, NV",1d,"$1,500 - $1,800 (Landlord est.)"
Meridian Court,4.2,2BR,"Chattanooga, TN",8d,
Spring Garden Commons,2.7,Two Bedroom / Two Bath,"Raleigh, NC",3d,"$1,525 - $1,775 (Landlord est.)"
Vintage Brick Lofts,3.1,"Two Bed, Two Bath (Top Floor)","Salt Lake City, UT",6d,"$1,325 - $1,825 (Landlord est.)"
The Juniper,3.6,2 bed 2 bath,"San Francisco, CA",8d,"$2,525 - $3,100 (Landlord est.)"
The Coventry,3.2,1 Bed / 1 Bath - Renovated,"Phoenix, AZ",6d,
Greenway Crossing,3.5,2 bed 2 bath,Inland Empire,30d+,"$1,725 - $2,225 (Landlord est.)"
"Beacon Residential Group, LLC",4.6,3BD/2BA,"Fresno, CA",30d+,"$1,625 - $2,000 (Landlord est.)"
The Ashford,3.2,"One Bed, One Bath","San Francisco, CA",2d,
Fieldstone Commons,3.3,3 Bed / 2 Bath,"Akron, OH",7d,
The Ardmore,,One Bedroom / One Bath,"Houston, TX",6d,"$1,200 - $1,325 (Landlord est.)"
Lakeshore Landing,4.2,Two Bedroom,"Little Rock, AR",2d,"$1,075 - $1,250 (RentPulse est.)"
Ironworks Lofts,4.8,2 Bedroom Townhome,,12d,"$1,500 - $2,150 (Landlord est.)"
"Beacon Residential Group, LLC",3.3,"Two Bed, Two Bath (Top Floor)","Sacramento, CA",24d,"$1,725 - $1,975 (Landlord est.)"
"Crown Ridge Residential, LLC",4.1,2 Bed / 1.5 Bath,"Providence, RI",4d,"$1,500 - $1,975 (Landlord est.)"
Quarry Hill Apartments,,3 Bedroom House,"Chicago, IL",2d,"$1,950 - $2,625 (RentPulse est.)"
Stonebridge Village,4.6,2BD/2BA,"Farmington Hills, MI",3d,"$1,150 - $1,475 (Landlord est.)"
Meridian Court,4.1,"2 Bed, 2 Bath, Den","Fort Wayne, IN",4d,"$1,050 - $1,300 (Landlord est.)"
Bayside Apartment Homes,3.0,3BR/2BA,"San Francisco, CA",2d,"$3,250 - $3,850 (Landlord est.)"
Arbor Lane Apartments,,One Bedroom,"Milwaukee, WI",12d,
The Paxton,,Studio Apartment,"Kansas City, MO",2d,
The Windermere,,1BD/1BA,"Sacramento, CA",4d,"$1,425 - $2,100 (RentPulse est.)"
Rosewood Terrace,3.2,1 Bed / 1.5 Bath,"Salt Lake City, UT",1d,
The Coventry,,Studio Loft,"Denver, CO",16d,"$975 - $1,150 (Landlord est.)"
Emerald Bay Apartments,3.2,1 Bedroom Loft,"New York, NY",2d,
Mill District Lofts,4.1,2 Bed / 1.5 Bath,"New York, NY",12d,"$2,350 - $2,675 (Landlord est.)"
The Alder,2.9,3 Bed / 2 Bath,"Little Rock, AR",1d,"$1,375 - $1,775 (RentPulse est.)"
The Windermere,2.6,1 bed 1 bath,"State College, PA",10d,$875 - $950 (Landlord est.)
The Rowan,4.1,Studio,"Chattanooga, TN",30d+,$700 - $850 (RentPulse est.)
Pinecrest Gardens,3.3,1BD/1BA,Research Triangle,14d,"$1,000 - $1,400 (RentPulse est.)"
Prospect Point Flats,3.7,2 Bedroom - Washer/Dryer in Unit,"Indianapolis, IN",3d,"$1,275 - $1,450 (Landlord est.)"
The Larkspur,3.1,1BD/1BA,"Ithaca, NY",13d,
Prospect Point Flats,4.9,3 Bedroom Townhouse,"Minneapolis, MN",12d,"$1,875 - $2,475 (Landlord est.)"
Rosewood Terrace,3.9,Studio Apartment,"Bloomington, IN",30d+,$650 - $900 (Landlord est.)
"The Yards at Ohio River, Tower A",4.2,2BR/2BA,"Houston, TX",30d+,"$1,375 - $1,825 (RentPulse est.)"
Crestline Apartments,4.4,1 Bedroom Loft,"Buffalo, NY",4d,"$1,000 - $1,225 (Landlord est.)"
Sycamore Court,2.8,3 Bed / 2 Bath - Garage Included,"Providence, RI",3d,"$1,825 - $2,025 (RentPulse est.)"
The Larkspur,,"Two Bed, Two Bath (Top Floor)","Milwaukee, WI",30d+,"$1,250 - $1,625 (Landlord est.)"
Fern Hollow Apartments,4.1,2BR/2BA,"Albuquerque, NM",30d+,"$1,100 - $1,300 (Landlord est.)"
Foxwood Crossing,3.0,Four Bedroom Townhome,"Chicago, IL",10d,
Union Yards,,One Bedroom / One Bath,"Cary, NC",30d+,"$1,175 - $1,475 (RentPulse est.)"
Verdant Square,4.7,One Bedroom Apartment Home,"Louisville, KY",26d,"$850 - $1,075 (RentPulse est.)"
Brightwater Flats,3.9,3 Bed / 2.5 Bath,"San Jose, CA",9d,
Sunset Ridge Apartments,3.3,2 Bedroom Apartment,"Akron, OH",3d,"$1,050 - $1,450 (Landlord est.)"
Rosewood Terrace,4.0,1 bed 1 bath,"Madison, WI",4d,"$1,075 - $1,475 (Landlord est.)"
Barrett Square Apartments,4.1,2BR/2BA,"Tampa, FL",2d,"$1,650 - $1,975 (Landlord est.)"
The Ashford,4.6,"Two Bed, Two Bath (Top Floor)","Alpharetta, GA",10d,"$1,650 - $1,850 (Landlord est.)"
Spring Garden Commons,,1BR,"Akron, OH",5d,"$825 - $1,100 (RentPulse est.)"
Quarry Hill Apartments,2.7,2 Bed / 2 Bath - Renovated,"Dallas, TX",3d,
Crestline Apartments,,1 Bedroom - Upgraded Finishes,"Miami, FL",3d,"$1,675 - $2,400 (RentPulse est.)"
Ironworks Lofts,3.1,1BR/1BA,"Boston, MA",2d,"$1,875 - $2,400 (Landlord est.)"
Prospect Point Flats,4.3,One Bedroom Apartment Home,"New Orleans, LA",30d+,
"Hartwell Properties, Inc.",3.1,2 Bed / 2 Bath,"San Diego, CA",4d,"$1,950 - $2,625 (RentPulse est.)"
Quarry Hill Apartments,3.6,Five Bedroom House,"Louisville, KY",2d,"$1,825 - $2,650 (Landlord est.)"
The Hollis,3.8,One Bedroom Townhome,"Wichita, KS",8d,
The Bellamy,4.3,2 Bedroom - Washer/Dryer in Unit,"Raleigh, NC",1d,
Copperfield Commons,4.1,2 Bed / 1 Bath,"Birmingham, AL",3d,"$1,000 - $1,175 (RentPulse est.)"
Trailside at Fox Run,3.0,Studio,"Farmington Hills, MI",1d,$700 - $950 (Landlord est.)
Wexford Place,,2 bed 2 bath,"San Jose, CA",16d,"$2,175 - $2,925 (RentPulse est.)"
"Hartwell Properties, Inc.",3.6,1 Bed/1 Bath (Corner Unit),"Colorado Springs, CO",1d,"$975 - $1,150 (RentPulse est.)"
Vintage Brick Lofts,4.2,Five Bedroom House,"Milwaukee, WI",28d,"$1,925 - $2,725 (RentPulse est.)"
"Sandalwood Apartments, South Campus",3.5,Three Bedroom,"Ithaca, NY",2d,"$1,525 - $1,875 (RentPulse est.)"
Chestnut Hill Commons,4.2,4 Bed / 4 Bath - Student Housing,"Wichita, KS",30d+,"$1,400 - $1,600 (Landlord est.)"
The Ashford,3.9,1BR/1BA,"Bakersfield, CA",30d+,
Clearview Heights,2.8,Studio / Open Floor Plan,"San Diego, CA",4d,"$1,175 - $1,675 (Landlord est.)"
Verdant Square,3.8,Efficiency,Multiple Locations,30d+,"$1,000 - $1,450 (RentPulse est.)"
Union Yards,4.0,3 Bed / 2.5 Bath,"San Francisco, CA",10d,"$2,800 - $3,800 (RentPulse est.)"
"The Grove at Erie, Building C",4.2,Two Bedroom Apartment Home,"Raleigh, NC",30d+,"$1,400 - $1,900 (Landlord est.)"
Arbor Lane Apartments,4.6,One Bedroom / One Bath,"Cary, NC",30d+,"$1,125 - $1,375 (Landlord est.)"
Clearview Heights,,Studio Loft,"San Francisco, CA",7d,"$1,500 - $1,925 (RentPulse est.)"
Union Yards,3.6,1BD/1BA,"San Jose, CA",20d,
Highland Row,3.8,3 Bedroom Townhouse,"Richmond, VA",30d+,
The Ardmore,2.6,"One Bed, One Bath",Research Triangle,10d,"$1,175 - $1,525 (Landlord est.)"
Mill District Lofts,3.0,2BR/1BA,"Charlotte, NC",1d,"$1,375 - $1,550 (Landlord est.)"
Clearview Heights,,2 Bedroom Duplex,"Ithaca, NY",1d,"$1,375 - $1,775 (RentPulse est.)"
Wexford Place,,2 Bedroom Apartment,"Boston, MA",30d+,"$2,175 - $2,650 (Landlord est.)"
The Windermere,4.2,2 Bed / 1.5 Bath,"Orlando, FL",2d,"$1,650 - $2,200 (Landlord est.)"
The Hollis,4.1,1 Bed / 1 Bath + Den,"Portland, OR",30d+,
Highland Row,2.8,2 Bed / 1 Bath,"Milwaukee, WI",2d,
The Ellsworth,3.0,2 Bed / 2 Bath - Renovated,"Akron, OH",3d,"$1,100 - $1,225 (Landlord est.)"
The Marigold,4.2,Two Bedroom / Two Bath,"New York, NY",5d,"$2,325 - $2,650 (Landlord est.)"
Autumn Ridge Apartments,2.5,2BR/1BA,"Philadelphia, PA",3d,"$1,600 - $1,850 (Landlord est.)"
Autumn Ridge Apartments,3.4,1 Bed/1 Bath (Corner Unit),"Alpharetta, GA",5d,"$1,225 - $1,725 (Landlord est.)"
Pebble Brook Village,3.5,2 Bed / 1 Bath,"Louisville, KY",2d,"$1,100 - $1,275 (Landlord est.)"
The Juniper,3.9,Three Bedroom,"Wichita, KS",2d,"$1,425 - $1,850 (RentPulse est.)"
Pebble Brook Village,4.5,1 Bed / 1.5 Bath,"Minneapolis, MN",4d,"$1,125 - $1,600 (RentPulse est.)"
Crestline Apartments,3.9,2BR/2BA,"San Diego, CA",2d,"$1,975 - $2,350 (RentPulse est.)"
The Alder,2.9,1 bed 1 bath,"San Jose, CA",11d,
Hawthorne Place,4.2,2 Bedroom Apartment,"Providence, RI",3d,"$1,600 - $2,150 (RentPulse est.)"
Waterford Place,,Junior Studio,"Kansas City, MO",30d+,
Bayside Apartment Homes,4.4,Two Bedroom / Two Bath,"Pittsburgh, PA",2d,"$1,400 - $1,875 (Landlord est.)"
The Dover,4.7,1BD/1BA,"Hartford, CT",20d,"$1,175 - $1,400 (Landlord est.)"
Parkview Terrace,3.6,2 Bedroom Townhome,"Cleveland, OH",13d,"$1,025 - $1,325 (Landlord est.)"
Silverleaf Apartments,,1 Bedroom Apartment,"Chattanooga, TN",3d,"$950 - $1,300 (RentPulse est.)"
"The Grove at Erie, Building C",2.8,2 Bedroom - Washer/Dryer in Unit,"Washington, DC",24d,"$2,200 - $3,025 (Landlord est.)"
Brightwater Flats,4.3,1 Bed / 1 Bath + Den,"Charlotte, NC",2d,"$1,250 - $1,625 (RentPulse est.)"
The Ellsworth,3.2,2 Bed / 1 Bath,"Kansas City, MO",1d,"$1,225 - $1,725 (Landlord est.)"
The Landmark at Midtown,2.7,Three Bedroom Townhome,"Cleveland, OH",1d,"$1,600 - $1,850 (Landlord est.)"
Maple Grove Commons,3.5,1 Bedroom Loft,"Denver, CO",30d+,
Northgate Apartment Homes,3.9,1BR,"Albuquerque, NM",30d+,"$825 - $1,150 (Landlord est.)"
Kingsley Park Apartments,4.0,Efficiency,"Farmington Hills, MI",6d,
Meridian Court,3.0,1 Bed / 1 Bath + Den,"Milwaukee, WI",20d,
The Marigold,2.8,1 bed 1 bath,"Bloomington, IN",3d,"$875 - $1,250 (RentPulse est.)"
The Merchant Lofts,3.7,4 bed 2 bath,"Tampa, FL",13d,"$2,450 - $3,550 (Landlord est.)"
"Sandalwood Apartments, South Campus",3.1,2BR/1BA,"Memphis, TN",30d+,"$1,175 - $1,375 (Landlord est.)"
The Ardmore,3.5,One Bedroom Apartment Home,"Atlanta, GA",1d,"$1,175 - $1,450 (RentPulse est.)"
Summit House,3.7,3BR/2.5BA,"Los Angeles, CA",1d,"$2,350 - $3,175 (Landlord est.)"
Clearview Heights,3.9,2 Bedroom - Washer/Dryer in Unit,"Miami, FL",6d,"$1,800 - $2,375 (RentPulse est.)"
The Ashford,3.3,4BR/4BA (Per Bed Lease),Research Triangle,1d,"$2,050 - $2,675 (Landlord est.)"
The Larkspur,4.4,Studio / Open Floor Plan,"Wichita, KS",1d,$725 - $825 (Landlord est.)
Cedar Ridge Village,4.8,1 Bed / 1 Bath - Renovated,"Chattanooga, TN",1d,"$950 - $1,250 (Landlord est.)"
The Windermere,3.4,2 Bed / 1.5 Bath,"Fort Wayne, IN",30d+,"$1,175 - $1,350 (Landlord est.)"
Thistlewood Commons,3.6,One Bedroom Apartment Home,"Little Rock, AR",30d+,"$875 - $1,025 (RentPulse est.)"
The Marigold,3.1,3 Bed / 2 Bath - Garage Included,"Ann Arbor, MI",3d,"$1,825 - $2,025 (Landlord est.)"
The Ardmore,3.4,1 bed 1 bath,"Miami, FL",3d,"$1,625 - $2,075 (Landlord est.)"
The Carlisle,3.1,2 Bed / 2 Bath,"Scranton, PA",3d,"$1,150 - $1,400 (Landlord est.)"
The Dover,4.7,Two Bedroom,"Memphis, TN",1d,
Harborview Commons,4.6,Two Bedroom Apartment Home,"Orlando, FL",21d,"$1,450 - $1,725 (Landlord est.)"
Sunset Ridge Apartments,4.0,TWO BEDROOM,"Aguadilla, PR",30d+,"$925 - $1,375 (RentPulse est.)"
Lakeshore Landing,,One Bedroom / One Bath,"Tampa, FL",30d+,"$1,325 - $1,675 (Landlord est.)"
Northgate Apartment Homes,3.6,1BR/1BA,"Farmington Hills, MI",30d+,"$850 - $1,050 (Landlord est.)"
Spring Garden Commons,4.0,1 Bed / 1 Bath,"Sacramento, CA",1d,"$1,375 - $1,775 (RentPulse est.)"
Maple Grove Commons,,Two Bedroom / Two Bath,"Scranton, PA",30d+,"$1,075 - $1,325 (RentPulse est.)"
The Marigold,4.0,Three Bedroom,"Scranton, PA",2d,"$1,375 - $1,550 (RentPulse est.)"
Wexford Place,4.7,2 Bedroom - Washer/Dryer in Unit,"Miami, FL",7d,"$1,725 - $2,475 (RentPulse est.)"
"The Grove at Erie, Building C",3.7,2 Bed / 1 Bath,"Providence, RI",2d,"$1,875 - $2,475 (RentPulse est.)"
Bayside Apartment Homes,3.5,3 Bed / 2 Bath,"State College, PA",3d,"$1,400 - $1,775 (RentPulse est.)"
Fieldstone Commons,2.6,2BR/1BA,"Little Rock, AR",30d+,"$1,125 - $1,250 (RentPulse est.)"
Fern Hollow Apartments,3.0,2BR/2BA,"Atlanta, GA",8d,"$1,375 - $1,850 (RentPulse est.)"
