_id,date,center_name,attendance_count
8636,2015-01-02,Magee Community Center,45
8637,2015-01-02,Jefferson Community Center,36
8638,2015-01-02,West Penn Community Center,86
8639,2015-01-02,Warrington Community Center,73
8640,2014-12-31,Paulson Community Center,30
8641,2014-12-31,Phillips Community Center,28
8642,2014-12-31,Ammon Community Center,4
8643,2014-12-31,Arlington Community Center,29
8644,2014-12-31,Brookline Community Center,63
8645,2014-12-31,Jefferson Community Center,35
8646,2014-12-31,Magee Community Center,31
8647,2014-12-31,Warrington Community Center,31
8648,2014-12-31,West Penn Community Center,55
8649,2014-12-30,Phillips Community Center,66
8650,2014-12-30,Paulson Community Center,33
8651,2014-12-30,Brookline Community Center,133
8652,2014-12-30,Arlington Community Center,35
8653,2014-12-30,Ammon Community Center,12
8654,2014-12-30,Magee Community Center,48
8655,2014-12-30,Jefferson Community Center,47
8656,2014-12-30,West Penn Community Center,144
8657,2014-12-30,Warrington Community Center,65
8658,2014-12-29,Paulson Community Center,38
8659,2014-12-29,Phillips Community Center,71
8660,2014-12-29,Ammon Community Center,13
8661,2014-12-29,Arlington Community Center,38
8662,2014-12-29,Brookline Community Center,138
8663,2014-12-29,Jefferson Community Center,34
8664,2014-12-29,Magee Community Center,67
8665,2014-12-29,Warrington Community Center,51
8666,2014-12-29,West Penn Community Center,119
8667,2014-12-27,Phillips Community Center,12
8668,2014-12-27,Brookline Community Center,108
8669,2014-12-26,Phillips Community Center,21
8670,2014-12-26,Paulson Community Center,20
8671,2014-12-26,Brookline Community Center,80
8672,2014-12-26,Arlington Community Center,18
8673,2014-12-26,Ammon Community Center,2
8674,2014-12-26,Magee Community Center,56
8675,2014-12-26,Jefferson Community Center,28
8676,2014-12-26,West Penn Community Center,52
8677,2014-12-26,Warrington Community Center,69
8678,2014-12-24,Paulson Community Center,8
8679,2014-12-24,Phillips Community Center,5
8680,2014-12-24,Ammon Community Center,2
8681,2014-12-24,Arlington Community Center,1
8682,2014-12-24,Brookline Community Center,28
8683,2014-12-24,Jefferson Community Center,9
8684,2014-12-24,Magee Community Center,24
8685,2014-12-24,Ormsby Community Center,10
8686,2014-12-24,Warrington Community Center,17
8687,2014-12-24,West Penn Community Center,48
8688,2014-12-23,Phillips Community Center,32
8689,2014-12-23,Paulson Community Center,16
8690,2014-12-23,Brookline Community Center,91
8691,2014-12-23,Arlington Community Center,37
8692,2014-12-23,Ammon Community Center,24
8693,2014-12-23,Ormsby Community Center,23
8694,2014-12-23,Magee Community Center,66
8695,2014-12-23,Jefferson Community Center,27
8696,2014-12-23,West Penn Community Center,62
8697,2014-12-23,Warrington Community Center,62
8698,2014-12-22,Paulson Community Center,28
8699,2014-12-22,Phillips Community Center,83
8700,2014-12-22,Ammon Community Center,46
8701,2014-12-22,Arlington Community Center,49
8702,2014-12-22,Brookline Community Center,168
8703,2014-12-22,Jefferson Community Center,36
8704,2014-12-22,Magee Community Center,59
8705,2014-12-22,Ormsby Community Center,72
8706,2014-12-22,Warrington Community Center,74
8707,2014-12-22,West Penn Community Center,143
8708,2014-12-20,Phillips Community Center,6
8709,2014-12-20,Brookline Community Center,308
8710,2014-12-20,Ormsby Community Center,8
8711,2014-12-20,Magee Community Center,106
8712,2014-12-20,West Penn Community Center,122
8713,2014-12-19,Phillips Community Center,47
8714,2014-12-19,Paulson Community Center,38
8715,2014-12-19,Brookline Community Center,170
8716,2014-12-19,Arlington Community Center,53
8717,2014-12-19,Ammon Community Center,33
8718,2014-12-19,Magee Community Center,64
8814,2014-12-08,Magee Community Center,54
8719,2014-12-19,Jefferson Community Center,34
8720,2014-12-19,Ormsby Community Center,23
8721,2014-12-19,West Penn Community Center,86
8722,2014-12-19,Warrington Community Center,93
8723,2014-12-18,Paulson Community Center,52
8724,2014-12-18,Phillips Community Center,81
8725,2014-12-18,Ammon Community Center,54
8726,2014-12-18,Arlington Community Center,39
8727,2014-12-18,Brookline Community Center,234
8728,2014-12-18,Ormsby Community Center,32
8729,2014-12-18,Jefferson Community Center,26
8730,2014-12-18,Magee Community Center,126
8731,2014-12-18,Warrington Community Center,60
8732,2014-12-18,West Penn Community Center,127
8733,2014-12-17,Phillips Community Center,65
8734,2014-12-17,Paulson Community Center,31
8735,2014-12-17,Brookline Community Center,152
8736,2014-12-17,Arlington Community Center,31
8737,2014-12-17,Ammon Community Center,41
8738,2014-12-17,Magee Community Center,63
8739,2014-12-17,Jefferson Community Center,27
8740,2014-12-17,Ormsby Community Center,63
8741,2014-12-17,West Penn Community Center,160
8742,2014-12-17,Warrington Community Center,101
8743,2014-12-16,Paulson Community Center,27
8744,2014-12-16,Phillips Community Center,73
8745,2014-12-16,Ammon Community Center,41
8746,2014-12-16,Arlington Community Center,103
8747,2014-12-16,Brookline Community Center,378
8748,2014-12-16,Ormsby Community Center,59
8749,2014-12-16,Jefferson Community Center,32
8750,2014-12-16,Magee Community Center,61
8751,2014-12-16,Warrington Community Center,72
8752,2014-12-16,West Penn Community Center,96
8753,2014-12-15,Phillips Community Center,96
8754,2014-12-15,Paulson Community Center,40
8755,2014-12-15,Brookline Community Center,210
8756,2014-12-15,Arlington Community Center,66
8757,2014-12-15,Ammon Community Center,61
8758,2014-12-15,Magee Community Center,57
8759,2014-12-15,Jefferson Community Center,32
8760,2014-12-15,Ormsby Community Center,67
8761,2014-12-15,West Penn Community Center,97
8762,2014-12-15,Warrington Community Center,81
8763,2014-12-13,Phillips Community Center,150
8764,2014-12-13,Brookline Community Center,367
8765,2014-12-13,Ormsby Community Center,9
8766,2014-12-13,Jefferson Community Center,8
8767,2014-12-13,Magee Community Center,118
8768,2014-12-13,Warrington Community Center,317
8769,2014-12-13,West Penn Community Center,75
8770,2014-12-12,Phillips Community Center,47
8771,2014-12-12,Brookline Community Center,108
8772,2014-12-12,Ammon Community Center,4
8773,2014-12-12,Arlington Community Center,111
8774,2014-12-12,Magee Community Center,7
8775,2014-12-12,Jefferson Community Center,24
8776,2014-12-12,Ormsby Community Center,9
8777,2014-12-12,West Penn Community Center,75
8778,2014-12-12,Warrington Community Center,53
8779,2014-12-11,Phillips Community Center,114
8780,2014-12-11,Paulson Community Center,29
8781,2014-12-11,Arlington Community Center,13
8782,2014-12-11,Ammon Community Center,94
8783,2014-12-11,Brookline Community Center,316
8784,2014-12-11,Ormsby Community Center,40
8785,2014-12-11,Jefferson Community Center,28
8786,2014-12-11,Magee Community Center,85
8787,2014-12-11,Warrington Community Center,67
8788,2014-12-11,West Penn Community Center,53
8789,2014-12-10,Paulson Community Center,43
8790,2014-12-10,Phillips Community Center,91
8791,2014-12-10,Brookline Community Center,202
8792,2014-12-10,Ammon Community Center,116
8793,2014-12-10,Arlington Community Center,34
8794,2014-12-10,Magee Community Center,78
8795,2014-12-10,Jefferson Community Center,26
8796,2014-12-10,Ormsby Community Center,44
8797,2014-12-10,West Penn Community Center,90
8798,2014-12-10,Warrington Community Center,127
8799,2014-12-09,Phillips Community Center,163
8800,2014-12-09,Paulson Community Center,31
8801,2014-12-09,Arlington Community Center,115
8802,2014-12-09,Ammon Community Center,108
8803,2014-12-09,Brookline Community Center,276
8804,2014-12-09,Ormsby Community Center,35
8805,2014-12-09,Jefferson Community Center,37
8806,2014-12-09,Magee Community Center,55
8807,2014-12-09,Warrington Community Center,63
8808,2014-12-09,West Penn Community Center,76
8809,2014-12-08,Paulson Community Center,27
8810,2014-12-08,Phillips Community Center,81
8811,2014-12-08,Brookline Community Center,205
8812,2014-12-08,Ammon Community Center,104
8813,2014-12-08,Arlington Community Center,44
8815,2014-12-08,Jefferson Community Center,28
8816,2014-12-08,Ormsby Community Center,58
8817,2014-12-08,West Penn Community Center,96
8818,2014-12-08,Warrington Community Center,87
8819,2014-12-06,Phillips Community Center,47
8820,2014-12-06,Brookline Community Center,401
8821,2014-12-06,Ormsby Community Center,13
8822,2014-12-06,West Penn Community Center,174
8823,2014-12-05,Phillips Community Center,50
8824,2014-12-05,Paulson Community Center,30
8825,2014-12-05,Brookline Community Center,188
8826,2014-12-05,Arlington Community Center,88
8827,2014-12-05,Ammon Community Center,33
8828,2014-12-05,Ormsby Community Center,29
8829,2014-12-05,Jefferson Community Center,28
8830,2014-12-05,Magee Community Center,45
8831,2014-12-05,West Penn Community Center,77
8832,2014-12-05,Warrington Community Center,34
8833,2014-12-04,Paulson Community Center,22
8834,2014-12-04,Phillips Community Center,80
8835,2014-12-04,Ammon Community Center,74
8836,2014-12-04,Arlington Community Center,62
8837,2014-12-04,Brookline Community Center,342
8838,2014-12-04,Magee Community Center,36
8839,2014-12-04,Jefferson Community Center,27
8840,2014-12-04,Ormsby Community Center,36
8841,2014-12-04,Warrington Community Center,50
8842,2014-12-04,West Penn Community Center,57
8843,2014-12-03,Phillips Community Center,164
8844,2014-12-03,Paulson Community Center,23
8845,2014-12-03,Brookline Community Center,189
8846,2014-12-03,Arlington Community Center,43
8847,2014-12-03,Ammon Community Center,127
8848,2014-12-03,Ormsby Community Center,44
8849,2014-12-03,Jefferson Community Center,28
8850,2014-12-03,Magee Community Center,52
8851,2014-12-03,West Penn Community Center,83
8852,2014-12-03,Warrington Community Center,45
8853,2014-12-02,Paulson Community Center,24
8854,2014-12-02,Phillips Community Center,140
8855,2014-12-02,Ammon Community Center,101
8856,2014-12-02,Arlington Community Center,99
8857,2014-12-02,Brookline Community Center,333
8858,2014-12-02,Magee Community Center,46
8859,2014-12-02,Jefferson Community Center,29
8860,2014-12-02,Ormsby Community Center,35
8861,2014-12-02,Warrington Community Center,48
8862,2014-12-02,West Penn Community Center,83
8863,2014-12-01,Phillips Community Center,86
8864,2014-12-01,Paulson Community Center,29
8865,2014-12-01,Brookline Community Center,352
8866,2014-12-01,Arlington Community Center,45
8867,2014-12-01,Ammon Community Center,132
8868,2014-12-01,Ormsby Community Center,56
8869,2014-12-01,Jefferson Community Center,7
8870,2014-12-01,Magee Community Center,41
8871,2014-12-01,West Penn Community Center,64
8872,2014-12-01,Warrington Community Center,63
8873,2014-11-29,Ormsby Community Center,11
8874,2014-11-29,Warrington Community Center,24
8875,2014-11-29,West Penn Community Center,41
8876,2014-11-26,Paulson Community Center,18
8877,2014-11-26,Phillips Community Center,65
8878,2014-11-26,Ammon Community Center,73
8879,2014-11-26,Arlington Community Center,16
8880,2014-11-26,Brookline Community Center,108
8881,2014-11-26,Ormsby Community Center,25
8882,2014-11-26,Magee Community Center,39
8883,2014-11-26,Jefferson Community Center,22
8884,2014-11-26,West Penn Community Center,67
8885,2014-11-26,Warrington Community Center,59
8886,2014-11-25,Phillips Community Center,36
8887,2014-11-25,Paulson Community Center,27
8888,2014-11-25,Brookline Community Center,187
8889,2014-11-25,Arlington Community Center,51
8890,2014-11-25,Ammon Community Center,91
8891,2014-11-25,Jefferson Community Center,31
8892,2014-11-25,Magee Community Center,53
8893,2014-11-25,Ormsby Community Center,28
8894,2014-11-25,Warrington Community Center,72
8895,2014-11-25,West Penn Community Center,62
8896,2014-11-24,Paulson Community Center,4
8897,2014-11-24,Phillips Community Center,110
8898,2014-11-24,Ammon Community Center,20
8899,2014-11-24,Arlington Community Center,45
8900,2014-11-24,Brookline Community Center,290
8901,2014-11-24,Ormsby Community Center,67
8902,2014-11-24,Magee Community Center,50
8903,2014-11-24,Jefferson Community Center,27
8904,2014-11-24,West Penn Community Center,90
8905,2014-11-24,Warrington Community Center,83
8906,2014-11-22,Phillips Community Center,10
8907,2014-11-22,Brookline Community Center,106
8908,2014-11-22,Ormsby Community Center,18
8909,2014-11-22,Warrington Community Center,138
8910,2014-11-22,West Penn Community Center,45
8911,2014-11-21,Phillips Community Center,93
8912,2014-11-21,Paulson Community Center,17
8913,2014-11-21,Brookline Community Center,89
8914,2014-11-21,Arlington Community Center,23
8915,2014-11-21,Ammon Community Center,63
8916,2014-11-21,Ormsby Community Center,29
8917,2014-11-21,Jefferson Community Center,30
8918,2014-11-21,West Penn Community Center,80
8919,2014-11-21,Warrington Community Center,66
8920,2014-11-20,Paulson Community Center,29
8921,2014-11-20,Phillips Community Center,50
8922,2014-11-20,Ammon Community Center,67
8923,2014-11-20,Arlington Community Center,40
8924,2014-11-20,Brookline Community Center,148
8925,2014-11-20,Jefferson Community Center,20
8926,2014-11-20,Ormsby Community Center,41
8927,2014-11-20,Warrington Community Center,80
8928,2014-11-20,West Penn Community Center,41
8929,2014-11-19,Phillips Community Center,93
8930,2014-11-19,Paulson Community Center,24
8931,2014-11-19,Brookline Community Center,224
8932,2014-11-19,Arlington Community Center,24
8933,2014-11-19,Ammon Community Center,159
8934,2014-11-19,Ormsby Community Center,32
8935,2014-11-19,Jefferson Community Center,20
8936,2014-11-19,West Penn Community Center,76
8937,2014-11-19,Warrington Community Center,103
8938,2014-11-18,Paulson Community Center,24
8939,2014-11-18,Phillips Community Center,84
8940,2014-11-18,Ammon Community Center,82
8941,2014-11-18,Arlington Community Center,48
8942,2014-11-18,Brookline Community Center,149
8943,2014-11-18,Jefferson Community Center,20
8944,2014-11-18,Magee Community Center,36
8945,2014-11-18,Ormsby Community Center,33
8946,2014-11-18,Warrington Community Center,83
8947,2014-11-18,West Penn Community Center,40
8948,2014-11-17,Phillips Community Center,80
8949,2014-11-17,Paulson Community Center,20
8950,2014-11-17,Brookline Community Center,142
8951,2014-11-17,Arlington Community Center,27
8952,2014-11-17,Ammon Community Center,157
8953,2014-11-17,Ormsby Community Center,47
8954,2014-11-17,Magee Community Center,56
8955,2014-11-17,Jefferson Community Center,20
8956,2014-11-17,West Penn Community Center,80
8957,2014-11-17,Warrington Community Center,48
8958,2014-11-15,Brookline Community Center,75
8959,2014-11-15,Ormsby Community Center,3
8960,2014-11-14,Paulson Community Center,4
8961,2014-11-14,Phillips Community Center,106
8962,2014-11-14,Brookline Community Center,108
8963,2014-11-14,Ormsby Community Center,26
8964,2014-11-14,Warrington Community Center,39
8965,2014-11-13,Phillips Community Center,51
8966,2014-11-13,Paulson Community Center,19
8967,2014-11-13,Brookline Community Center,81
8968,2014-11-13,Ammon Community Center,94
8969,2014-11-13,Arlington Community Center,41
8970,2014-11-13,Ormsby Community Center,49
8971,2014-11-13,Jefferson Community Center,29
8972,2014-11-13,Magee Community Center,41
8973,2014-11-13,Warrington Community Center,33
8974,2014-11-13,West Penn Community Center,43
8975,2014-11-12,Paulson Community Center,29
8976,2014-11-12,Phillips Community Center,91
8977,2014-11-12,Arlington Community Center,57
8978,2014-11-12,Ammon Community Center,156
8979,2014-11-12,Brookline Community Center,177
8980,2014-11-12,Magee Community Center,59
8981,2014-11-12,Jefferson Community Center,32
8982,2014-11-12,Ormsby Community Center,49
8983,2014-11-12,West Penn Community Center,58
8984,2014-11-12,Warrington Community Center,38
8985,2014-11-10,Phillips Community Center,56
8986,2014-11-10,Paulson Community Center,11
8987,2014-11-10,Warrington Community Center,31
8988,2014-11-10,Brookline Community Center,135
8989,2014-11-10,Ammon Community Center,97
8990,2014-11-10,Arlington Community Center,50
8991,2014-11-10,Ormsby Community Center,43
8992,2014-11-10,Jefferson Community Center,20
8993,2014-11-10,Magee Community Center,35
8994,2014-11-08,Phillips Community Center,14
8995,2014-11-08,Brookline Community Center,74
8996,2014-11-08,Ormsby Community Center,15
8997,2014-11-07,Phillips Community Center,25
8998,2014-11-07,Paulson Community Center,17
8999,2014-11-07,Warrington Community Center,11
9000,2014-11-07,Brookline Community Center,88
9001,2014-11-07,Arlington Community Center,15
9002,2014-11-07,Ammon Community Center,60
9003,2014-11-07,Ormsby Community Center,38
9004,2014-11-07,Magee Community Center,59
9005,2014-11-07,Jefferson Community Center,40
9006,2014-11-06,Warrington Community Center,29
9007,2014-11-06,Paulson Community Center,15
9008,2014-11-06,Phillips Community Center,52
9009,2014-11-06,Ammon Community Center,100
9010,2014-11-06,Arlington Community Center,16
9011,2014-11-06,Brookline Community Center,147
9012,2014-11-06,Jefferson Community Center,20
9013,2014-11-06,Magee Community Center,19
9014,2014-11-06,Ormsby Community Center,32
9015,2014-11-05,Phillips Community Center,26
9016,2014-11-05,Paulson Community Center,28
9017,2014-11-05,Warrington Community Center,48
9018,2014-11-05,Brookline Community Center,198
9019,2014-11-05,Arlington Community Center,15
9020,2014-11-05,Ammon Community Center,173
9021,2014-11-05,Ormsby Community Center,38
9022,2014-11-05,Magee Community Center,83
9023,2014-11-05,Jefferson Community Center,12
9024,2014-11-04,Warrington Community Center,1
9025,2014-11-04,Paulson Community Center,3
9026,2014-11-04,Phillips Community Center,41
9027,2014-11-04,Ammon Community Center,105
9028,2014-11-04,Arlington Community Center,199
9029,2014-11-04,Brookline Community Center,361
9030,2014-11-04,Jefferson Community Center,47
9031,2014-11-04,Magee Community Center,30
9032,2014-11-04,Ormsby Community Center,57
9033,2014-11-03,Phillips Community Center,98
9034,2014-11-03,Paulson Community Center,42
9035,2014-11-03,Brookline Community Center,125
9036,2014-11-03,Arlington Community Center,28
9037,2014-11-03,Ammon Community Center,106
9038,2014-11-03,Ormsby Community Center,44
9039,2014-11-03,Magee Community Center,30
9040,2014-11-03,Jefferson Community Center,23
9041,2014-11-03,West Penn Community Center,18
9042,2014-11-01,Phillips Community Center,40
9043,2014-11-01,Brookline Community Center,40
9044,2014-11-01,Ormsby Community Center,63
9045,2014-11-01,West Penn Community Center,44
9046,2014-10-31,Phillips Community Center,21
9047,2014-10-31,Paulson Community Center,30
9048,2014-10-31,Brookline Community Center,45
9049,2014-10-31,Ormsby Community Center,14
9050,2014-10-31,Jefferson Community Center,14
9051,2014-10-31,Magee Community Center,25
9052,2014-10-31,West Penn Community Center,29
9053,2014-10-30,Paulson Community Center,30
9054,2014-10-30,Phillips Community Center,36
9055,2014-10-30,Brookline Community Center,153
9056,2014-10-30,Arlington Community Center,18
9057,2014-10-30,Magee Community Center,31
9058,2014-10-30,Jefferson Community Center,34
9059,2014-10-30,Ormsby Community Center,54
9060,2014-10-30,West Penn Community Center,122
9061,2014-10-29,Phillips Community Center,39
9062,2014-10-29,Arlington Community Center,18
9063,2014-10-29,Brookline Community Center,191
9064,2014-10-29,Ormsby Community Center,79
9065,2014-10-29,Jefferson Community Center,28
9066,2014-10-29,Magee Community Center,41
9067,2014-10-29,West Penn Community Center,25
9068,2014-10-28,Phillips Community Center,66
9069,2014-10-28,Brookline Community Center,123
9070,2014-10-28,Arlington Community Center,31
9071,2014-10-28,Magee Community Center,25
9072,2014-10-28,Jefferson Community Center,35
9073,2014-10-28,Ormsby Community Center,92
9074,2014-10-28,West Penn Community Center,64
9075,2014-10-27,Phillips Community Center,130
9076,2014-10-27,Arlington Community Center,28
9077,2014-10-27,Brookline Community Center,158
9078,2014-10-27,Ormsby Community Center,53
9079,2014-10-27,Jefferson Community Center,34
9080,2014-10-27,Magee Community Center,21
9081,2014-10-27,West Penn Community Center,58
9082,2014-10-25,Phillips Community Center,4
9083,2014-10-25,Warrington Community Center,2
9084,2014-10-24,Warrington Community Center,2
9085,2014-10-24,Phillips Community Center,13
9086,2014-10-24,Brookline Community Center,51
9087,2014-10-24,Magee Community Center,23
9088,2014-10-24,Jefferson Community Center,24
9089,2014-10-24,West Penn Community Center,2
9090,2014-10-23,Phillips Community Center,42
9091,2014-10-23,Paulson Community Center,42
9092,2014-10-23,Warrington Community Center,3
9093,2014-10-23,Brookline Community Center,145
9094,2014-10-23,Arlington Community Center,17
9095,2014-10-23,Ammon Community Center,76
9096,2014-10-23,Jefferson Community Center,23
9097,2014-10-23,Magee Community Center,26
9098,2014-10-23,Ormsby Community Center,77
9099,2014-10-23,West Penn Community Center,101
9100,2014-10-22,Warrington Community Center,7
9101,2014-10-22,Paulson Community Center,35
9102,2014-10-22,Phillips Community Center,45
9103,2014-10-22,Ammon Community Center,100
9104,2014-10-22,Arlington Community Center,42
9105,2014-10-22,Brookline Community Center,199
9106,2014-10-22,Ormsby Community Center,35
9107,2014-10-22,Magee Community Center,35
9108,2014-10-22,Jefferson Community Center,24
9109,2014-10-22,West Penn Community Center,95
9110,2014-10-21,Phillips Community Center,78
9111,2014-10-21,Paulson Community Center,35
9112,2014-10-21,Brookline Community Center,100
9113,2014-10-21,Arlington Community Center,19
9114,2014-10-21,Ammon Community Center,74
9115,2014-10-21,Jefferson Community Center,12
9116,2014-10-21,Magee Community Center,34
9117,2014-10-21,Ormsby Community Center,71
9118,2014-10-21,West Penn Community Center,65
9119,2014-10-20,Paulson Community Center,35
9120,2014-10-20,Phillips Community Center,54
9121,2014-10-20,Warrington Community Center,20
9122,2014-10-20,Ammon Community Center,99
9123,2014-10-20,Arlington Community Center,30
9124,2014-10-20,Brookline Community Center,150
9125,2014-10-20,Ormsby Community Center,65
9126,2014-10-20,Magee Community Center,30
9127,2014-10-20,Jefferson Community Center,41
9128,2014-10-20,West Penn Community Center,75
9129,2014-10-19,Ormsby Community Center,34
9130,2014-10-18,Warrington Community Center,3
9131,2014-10-18,Phillips Community Center,9
9132,2014-10-18,Brookline Community Center,55
9133,2014-10-18,Ormsby Community Center,73
9134,2014-10-18,Magee Community Center,5
9135,2014-10-18,West Penn Community Center,16
9136,2014-10-17,Phillips Community Center,52
9137,2014-10-17,Paulson Community Center,1
9138,2014-10-17,Warrington Community Center,15
9139,2014-10-17,Brookline Community Center,104
9140,2014-10-17,Arlington Community Center,9
9141,2014-10-17,Ammon Community Center,60
9142,2014-10-17,Magee Community Center,17
9143,2014-10-17,Jefferson Community Center,30
9144,2014-10-17,Ormsby Community Center,27
9145,2014-10-17,West Penn Community Center,72
9146,2014-10-16,Warrington Community Center,2
9147,2014-10-16,Paulson Community Center,23
9148,2014-10-16,Phillips Community Center,28
9149,2014-10-16,Ammon Community Center,24
9150,2014-10-16,Arlington Community Center,21
9151,2014-10-16,Brookline Community Center,95
9152,2014-10-16,Ormsby Community Center,52
9153,2014-10-16,Jefferson Community Center,35
9154,2014-10-16,Magee Community Center,16
9155,2014-10-16,West Penn Community Center,118
9156,2014-10-15,Phillips Community Center,62
9157,2014-10-15,Paulson Community Center,56
9158,2014-10-15,Warrington Community Center,8
9159,2014-10-15,Brookline Community Center,219
9160,2014-10-15,Arlington Community Center,35
9161,2014-10-15,Ammon Community Center,91
9162,2014-10-15,Magee Community Center,38
9163,2014-10-15,Jefferson Community Center,49
9164,2014-10-15,Ormsby Community Center,38
9165,2014-10-15,West Penn Community Center,81
9166,2014-10-14,Warrington Community Center,10
9167,2014-10-14,Paulson Community Center,15
9168,2014-10-14,Phillips Community Center,40
9169,2014-10-14,Ammon Community Center,70
9170,2014-10-14,Arlington Community Center,19
9171,2014-10-14,Brookline Community Center,178
9172,2014-10-14,Ormsby Community Center,92
9173,2014-10-14,Jefferson Community Center,34
9174,2014-10-14,Magee Community Center,29
9175,2014-10-14,West Penn Community Center,50
9176,2014-10-13,Phillips Community Center,132
9177,2014-10-13,Paulson Community Center,34
9178,2014-10-13,Warrington Community Center,33
9179,2014-10-13,Brookline Community Center,222
9180,2014-10-13,Arlington Community Center,18
9181,2014-10-13,Ammon Community Center,36
9182,2014-10-13,Magee Community Center,43
9183,2014-10-13,Jefferson Community Center,34
9184,2014-10-13,Ormsby Community Center,55
9185,2014-10-13,West Penn Community Center,67
9186,2014-10-11,Warrington Community Center,13
9187,2014-10-11,Phillips Community Center,9
9188,2014-10-11,Brookline Community Center,58
9189,2014-10-11,Ormsby Community Center,109
9190,2014-10-11,Magee Community Center,5
9191,2014-10-11,West Penn Community Center,22
9192,2014-10-10,Phillips Community Center,44
9193,2014-10-10,Paulson Community Center,38
9194,2014-10-10,Warrington Community Center,16
9195,2014-10-10,Brookline Community Center,93
9196,2014-10-10,Ammon Community Center,65
9197,2014-10-10,Arlington Community Center,35
9198,2014-10-10,Magee Community Center,27
9199,2014-10-10,Jefferson Community Center,33
9200,2014-10-10,Ormsby Community Center,23
9201,2014-10-10,West Penn Community Center,52
9202,2014-10-09,Warrington Community Center,10
9203,2014-10-09,Paulson Community Center,31
9204,2014-10-09,Phillips Community Center,30
9205,2014-10-09,Arlington Community Center,19
9206,2014-10-09,Ammon Community Center,39
9207,2014-10-09,Brookline Community Center,219
9208,2014-10-09,Ormsby Community Center,89
9209,2014-10-09,Jefferson Community Center,26
9210,2014-10-09,Magee Community Center,25
9211,2014-10-09,West Penn Community Center,107
9212,2014-10-08,Phillips Community Center,39
9213,2014-10-08,Paulson Community Center,51
9214,2014-10-08,Warrington Community Center,14
9215,2014-10-08,Brookline Community Center,223
9216,2014-10-08,Ammon Community Center,87
9217,2014-10-08,Arlington Community Center,13
9218,2014-10-08,Magee Community Center,37
9219,2014-10-08,Jefferson Community Center,20
9220,2014-10-08,Ormsby Community Center,102
9221,2014-10-08,West Penn Community Center,80
9222,2014-10-07,Warrington Community Center,13
9223,2014-10-07,Paulson Community Center,37
9224,2014-10-07,Phillips Community Center,47
9225,2014-10-07,Arlington Community Center,22
9226,2014-10-07,Ammon Community Center,94
9227,2014-10-07,Brookline Community Center,104
9228,2014-10-07,Ormsby Community Center,50
9229,2014-10-07,Jefferson Community Center,25
9230,2014-10-07,Magee Community Center,23
9231,2014-10-07,West Penn Community Center,33
9232,2014-10-06,Phillips Community Center,42
9233,2014-10-06,Paulson Community Center,35
9234,2014-10-06,Warrington Community Center,16
9235,2014-10-06,Brookline Community Center,122
9236,2014-10-06,Ammon Community Center,77
9237,2014-10-06,Arlington Community Center,33
9238,2014-10-06,Magee Community Center,28
9239,2014-10-06,Jefferson Community Center,25
9240,2014-10-06,Ormsby Community Center,69
9241,2014-10-06,West Penn Community Center,62
9242,2014-10-04,Phillips Community Center,8
9243,2014-10-04,Brookline Community Center,71
9244,2014-10-04,Ormsby Community Center,98
9245,2014-10-04,West Penn Community Center,12
9246,2014-10-03,Phillips Community Center,34
9247,2014-10-03,Paulson Community Center,42
9248,2014-10-03,Warrington Community Center,7
9249,2014-10-03,Brookline Community Center,61
9250,2014-10-03,Arlington Community Center,14
9251,2014-10-03,Ammon Community Center,81
9252,2014-10-03,Ormsby Community Center,27
9253,2014-10-03,Jefferson Community Center,22
9254,2014-10-03,Magee Community Center,22
9255,2014-10-03,West Penn Community Center,62
9256,2014-10-02,Warrington Community Center,9
9257,2014-10-02,Paulson Community Center,49
9258,2014-10-02,Phillips Community Center,45
9259,2014-10-02,Ammon Community Center,85
9260,2014-10-02,Arlington Community Center,51
9261,2014-10-02,Brookline Community Center,198
9262,2014-10-02,Magee Community Center,20
9263,2014-10-02,Jefferson Community Center,25
9264,2014-10-02,Ormsby Community Center,102
9265,2014-10-02,West Penn Community Center,121
9266,2014-10-01,Phillips Community Center,37
9267,2014-10-01,Paulson Community Center,51
9268,2014-10-01,Warrington Community Center,4
9269,2014-10-01,Brookline Community Center,138
9270,2014-10-01,Arlington Community Center,24
9271,2014-10-01,Ammon Community Center,89
9272,2014-10-01,Ormsby Community Center,43
9273,2014-10-01,Jefferson Community Center,29
9274,2014-10-01,Magee Community Center,35
9275,2014-10-01,West Penn Community Center,48
9276,2014-09-30,Warrington Community Center,34
9277,2014-09-30,Paulson Community Center,53
9278,2014-09-30,Phillips Community Center,26
9279,2014-09-30,Ammon Community Center,100
9280,2014-09-30,Arlington Community Center,89
9281,2014-09-30,Brookline Community Center,141
9282,2014-09-30,Magee Community Center,18
9283,2014-09-30,Jefferson Community Center,16
9284,2014-09-30,Ormsby Community Center,117
9285,2014-09-30,West Penn Community Center,51
9286,2014-09-29,Phillips Community Center,38
9287,2014-09-29,Paulson Community Center,41
9288,2014-09-29,Warrington Community Center,8
9289,2014-09-29,Brookline Community Center,190
9290,2014-09-29,Arlington Community Center,29
9291,2014-09-29,Ammon Community Center,98
9292,2014-09-29,Ormsby Community Center,66
9293,2014-09-29,Jefferson Community Center,26
9294,2014-09-29,Magee Community Center,24
9295,2014-09-29,West Penn Community Center,53
9296,2014-09-27,Warrington Community Center,1
9297,2014-09-27,Phillips Community Center,10
