Company,Company Score,Job Title,Location,Date,Salary
Adobe,4.5,"Software Quality Assurance Engineer, Assistance Vice President","Quincy, MA",30d+,$120K (Employer est.)
Honeywell,5.0,Embedded Software Engineer,"Salem, OR",11d,$88K - $140K (Employer est.)
Honeywell,4.3,Software Development Engineer,"Lehi, UT",20d,$95K - $136K (Glassdoor est.)
Johns Hopkins University,4.8,Software Engineering/Electrical Engineering Co-op - Fall 2024 (US Persons),"Mason, OH",27d,$100K - $130K (Employer est.)
University of Vermont,4.1,Software Engineer II,"Mason, OH",5d,$159K - $175K (Employer est.)
Federal Reserve Bank of Dallas,3.5,Software Engineer,"Baltimore, MD",30d+,$104K - $348K (Employer est.)
"Grammarly, Inc.",4.0,Research Software Engineer,"Burlington, VT",4d,$98K - $209K (Employer est.)
SCD Information Technology,3.9,Software Engineer,"Dallas, TX",23d,$78K - $104K (Employer est.)
Clarity Innovations,4.0,"Software Engineer, Data Engineering",United States,4d,$100K (Employer est.)
"Akina, Inc.",4.0,Sr. Software Engineer,"Columbia, MD",1d,$64K - $128K (Employer est.)
Volvo Group,3.9,Software Engineer - Level 1 (RR) RRTN-8319,"Annapolis Junction, MD",30d+,$117K - $216K (Employer est.)
Calspan Corporation,3.7,Software Engineer - 3 (JavaScript/Go/Python),"Annapolis Junction, MD",3d,$135K - $247K (Employer est.)
Zoox,4.2,Co-Op: Software (Spring 2025),"Shippensburg, PA",11d,$83K - $136K (Glassdoor est.)
"Garmin International, Inc.",3.8,"Associate Software Engineer, Edwards Air Force Base","Edwards AFB, CA",26d,$85K - $130K (Glassdoor est.)
Root//Source,3.5,Software Engineer - Rider Support Tools,"Foster City, CA",30d+,$99.00 Per Hour (Employer est.)
"HireIO, Inc.",3.6,Senior Software Engineer - Aviation Databases,"Olathe, KS",30d,$73K - $88K (Employer est.)
PAC GROUP LLC,3.5,Full Stack Java Software Engineer (hybrid),"Annapolis Junction, MD",12d,$59K - $88K (Employer est.)
Fanatics Inc.,3.0,Software Engineer,"San Jose, CA",12d,$105K - $146K (Glassdoor est.)
Emergent Software,4.1,Software and Systems Engineer,"Suffolk, VA",30d+,$70K - $125K (Employer est.)
Harvard University,4.1,Sr Software Engineer (Back-end),"New York, NY",18d,$62K - $98K (Glassdoor est.)
Zoox,4.9,Software Engineer (Python),United States,4d,$82K - $119K (Glassdoor est.)
Intone Networks,3.8,"Sr. Software Engineer, HBS Online","Boston, MA",30d+,$80K - $113K (Glassdoor est.)
CARTIKTECH LLC,4.1,Software Development Engineer in Test,"Foster City, CA",6d,$67K - $106K (Glassdoor est.)
Abbott Laboratories,3.9,Software Engineer,"Austin, TX",19d,$144K - $200K (Employer est.)
Prove,3.4,Senior Software Engineer,"Chicago, IL",4d,$129K - $224K (Employer est.)
Fanatics Inc.,3.5,Software Engineer II,"Sylmar, CA",30d+,$169K (Employer est.)
Schweitzer Engineering Laboratories,4.2,"Senior Software Engineer, Orchestration Team","Chicago, IL",6d,$45.66 - $54.99 Per Hour (Employer est.)
Themis Insight,3.9,Software Engineer III,"New York, NY",30d+,$130K - $270K (Employer est.)
World Vision USA,4.9,Associate Software Engineer - C# Emphasis,"Pullman, WA",30d+,$140K - $180K (Employer est.)
Rippling,3.7,Jr. Software Engineer - Hybrid/Remote,Remote,2d,$69K - $98K (Glassdoor est.)
Hop Labs,4.2,Software Development Engineer III,United States,16d,$59K - $86K (Glassdoor est.)
"Hawaiian Airlines, Inc.",3.2,Staff Software Engineer - Documents,United States,2d,$80K - $123K (Glassdoor est.)
NetApp,3.9,ML Software Engineer,Remote,30d+,$105K - $152K (Glassdoor est.)
Quantum Systems Inc,4.1,"Software Developer Engineer, IT Technical Operations","Honolulu, HI",10d,$135K - $175K (Employer est.)
Salesforce,3.9,Software Engineer,Remote,10d,$154K - $279K (Employer est.)
Visa,3.7,Software Engineer Lead,"Moorpark, CA",12d,$86K - $145K (Glassdoor est.)
Honeywell,3.6,Full-Stack Software Engineer – LMTS / PMTS,"San Francisco, CA",30d+,$104K - $348K (Employer est.)
Oliver Wyman Group,3.4,Software Engineer – Senior Consultant Level - Tink,"Austin, TX",4d,$76K - $155K (Employer est.)
NVIDIA,2.5,Software Engineer I,"Richardson, TX",30d+,$83K - $114K (Glassdoor est.)
Morgan Stanley,4.4,NERA Associate Software Engineer,"White Plains, NY",30d+,$155K - $221K (Employer est.)
Amex,4.5,System Software Engineer – Autonomous Vehicles Platform,"Santa Clara, CA",30d+,$100K - $200K (Employer est.)
Multi State Lottery Association,4.0,"Associate, Python / Perl Dev","Alpharetta, GA",10d,$83K - $110K (Glassdoor est.)
EOG Resources,3.4,"Backend Software Engineer, Digital Banking-Payments","Phoenix, AZ",6d,$99K (Employer est.)
BAXTER,3.7,Senior Software Engineer,"Johnston, IA",11d,$129K - $207K (Employer est.)
Afterpay,3.7,Software Engineer I,"Houston, TX",30d+,$161K - $215K (Glassdoor est.)
U.S. Bank National Association,4.0,Senior Backend Software Engineer (Hybrid),"Bellevue, WA",30d+,$93K - $132K (Glassdoor est.)
Geon Technologies,3.8,"Software Engineer - PubSub, Cash App","San Francisco, CA",1d,$95K - $115K (Employer est.)
INTEL,5.0,"Software Engineer 2 - Mainframe (Cobol, JCL, VSAM)","Brookfield, WI",12d,$310K - $465K (Employer est.)
TDI Technologies,4.1,Software Engineer,"Annapolis Junction, MD",30d+,$117K - $160K (Glassdoor est.)
DAIKIN COMFORT TECHNOLOGIES MFG LP,4.3,Software Engineer / Simulation - Virtual Prototyping,"San Jose, CA",21d,$213K - $293K (Employer est.)
Intone Networks,4.4,C# Software Engineer,Pennsylvania,6d,$87K - $124K (Glassdoor est.)
Intone Networks,3.6,SOFTWARE ENGINEER 3,"Chatsworth, CA",4d,$163K - $294K (Employer est.)
Wise,3.6,Software Engineer in Test,"Westlake, TX",25d,$195K - $230K (Employer est.)
"Garmin International, Inc.",3.1,Jr Cloud Engineer,"Phoenix, AZ",9d,$70K - $90K (Employer est.)
Nyla Technology Solutions,4.2,"Senior Software Engineer II, Wise Account","Austin, TX",19d,$86K - $109K (Employer est.)
Wellington Management,3.0,Senior .NET Software Engineer,"Cary, NC",4d,$79K - $124K (Glassdoor est.)
Synergy ECP,3.5,Software Engineer,"Annapolis Junction, MD",30d+,$122K - $147K (Employer est.)
Costco Wholesale,3.1,Senior Software Engineer,"Boston, MA",30d+,$110K - $154K (Employer est.)
"Vizient, Inc.",4.5,Software Engineer,"Annapolis Junction, MD",30d+,$119K - $142K (Employer est.)
Leidos,3.7,Software Engineer - IT Sustainability,"Seattle, WA",17d,$120K - $150K (Employer est.)
Noblis,3.7,Senior Software Engineer,"Irving, TX",30d+,$85K - $131K (Glassdoor est.)
ELEVI Associates,4.7,Junior Software Engineer - Panama Shift!,"Annapolis Junction, MD",30d+,$60K - $80K (Employer est.)
ASCENDING,4.0,Software Solutions Engineer – Multiple Levels,"Oklahoma City, OK",30d+,$112K - $177K (Employer est.)
Trellint,4.0,Sr Software Engineer,"Annapolis Junction, MD",4d,$90K - $104K (Employer est.)
Synergy ECP,4.1,Cloud Software Engineer,"Fairfax, VA",30d+,$79K - $159K (Employer est.)
Lockheed Martin,3.6,R&D Software Engineer II,Maryland,11d,$195K - $245K (Employer est.)
"Trusted Space, Inc.",4.4,Software Engineer 1,"Columbia, MD",30d+,$66K - $112K (Glassdoor est.)
State Street,4.2,Software Engineer,"Highlands Ranch, CO",2d,$145K - $190K (Employer est.)
"Availity, LLC.",4.0,Software Engineer,Colorado,16d,$86K - $127K (Glassdoor est.)
BorgWarner,1.0,"Software Development Engineer, Officer, Onsite","Quincy, MA",3d,$120K - $140K (Employer est.)
Ford Motor Company,4.1,Node.js/Kotlin Software Engineer IV,"Jacksonville, FL",24d,$61K - $89K (Glassdoor est.)
Forterra,3.9,Software Resident Engineer,"Auburn Hills, MI",6d,$68K - $102K (Glassdoor est.)
Epsilon,3.1,Software Engineer,"Dearborn, MI",5d,$79K - $125K (Glassdoor est.)
ByteDance,3.3,Perception Software Engineer - ML Ops,Remote,30d+,$100K - $155K (Glassdoor est.)
Logistics Management Institute,3.7,Senior Front End Software Engineer,"Chicago, IL",10d,$94K - $122K (Glassdoor est.)
"Hottinger, Bruel & Kjaer",3.9,Software Engineer (Data Security-US) - 2025 Start (BS/MS),"San Jose, CA",6d,$60.00 - $72.00 Per Hour (Employer est.)
Sirius XM,3.6,Cloud Engineer,Remote,3d,$105K - $125K (Employer est.)
Warner Bros. Discovery,3.8,Custom Software Engineer,"Pompano Beach, FL",30d+,$103K - $147K (Glassdoor est.)
Peloton,3.3,"Senior Software Engineer - Python, Celery, Redis","Oakland, CA",3d,$81K - $118K (Glassdoor est.)
Movius Interactive Corporation,3.4,"VP, Software Engineering",United States,6d,$122K - $172K (Glassdoor est.)
Accenture Federal Services,4.0,Site Reliability Engineer,United States,6d,$108K - $216K (Employer est.)
Corteva,3.9,Software Engineer- Backend,"Fremont, CA",19d,$122K - $184K (Employer est.)
IntraFi Network,3.3,Software Engineer,"Elkridge, MD",3d,$121K - $181K (Employer est.)
PSEG,3.9,Software Engineer II,"Johnston, IA",9d,$78K - $133K (Employer est.)
Ryzlink DBA Chuwa America,3.1,Senior Software Engineer,"Arlington, VA",13d,$75K (Employer est.)
Trane Technologies,3.6,Software Engineer,"Bethpage, NY",10d,$86K - $139K (Glassdoor est.)
Discord,4.3,Software Programmer,"Santa Clara, CA",5d,$88K - $173K (Employer est.)
Tesla,4.2,Software Engineer - Innovation,"Saint Paul, MN",10d,$182K - $244K (Glassdoor est.)
Microsoft,4.0,"Software Engineer, Ads (Quests)","San Francisco, CA",18d,$124K - $155K (Employer est.)
First American Financial Corporation,3.7,"Staff Software Engineer, Backend, Factory Software","Fremont, CA",4d,$94K - $129K (Glassdoor est.)
IntraFi Network,3.6,Software Engineer 2,"Redmond, WA",2d,$72.84 - $80.93 Per Hour (Employer est.)
Collins Aerospace,3.5,Software Engineer II (Hybrid or Remote Possible),"Idaho Falls, ID",1d,$130K - $165K (Employer est.)
Roche,4.3,Software Engineer (Customer-Facing Applications),"Arlington, VA",10d,$65K - $101K (Glassdoor est.)
Qualtrics,3.0,Software Engineer,"Lenexa, KS",15d,$129K - $224K (Employer est.)
Edward Rose & Sons,4.4,Senior Software Engineer - Digital Pathology,"Santa Clara, CA",2d,$161K - $243K (Employer est.)
Michelin,5.0,Senior Software Development Engineer - Data Engineering Team,"Seattle, WA",8d,$76K - $107K (Glassdoor est.)
"Garmin International, Inc.",4.7,Yardi Enterprise Software Support Engineer - Hybrid Remote,"Bloomfield Hills, MI",11d,$70K - $85K (Employer est.)
Smart IMS,4.3,Software Engineer(Entry/Experienced) SPA,"Spartanburg, SC",26d,$75K - $150K (Employer est.)
Wipro,3.9,Embedded C / Linux Software Engineer - Marine,"Olathe, KS",23d,$110K - $150K (Employer est.)
Harley-Davidson,3.8,Software Engineer 2,United States,30d+,$98K - $147K (Glassdoor est.)
"VIZIO, Inc.",3.4,PHP Engineer,"Tampa, FL",30d+,$74K - $92K (Employer est.)
Geneva Technologies Inc.,3.4,Associate Design Engineer - Software V&V,"Wauwatosa, WI",30d+,$8K - $12K (Employer est.)
ElectronX,4.2,Senior Software Engineer,"Dallas, TX",5d,$90K - $131K (Employer est.)
Camelot Integrated Solutions Inc.,3.7,Software Engineer,"Monument, CO",4d,$120K - $150K (Employer est.)
"JRC Integrated Systems, LLC",3.7,Experienced: Core Infrastructure Software Engineer,Remote,3d,$126K - $237K (Employer est.)
Sabre Engineering,3.5,Software Developer (Job Code 001),"Houston, TX",30d+,$50K - $78K (Glassdoor est.)
Thermoflow,4.2,Software Engineer,"Dahlgren, VA",30d+,$94K - $117K (Glassdoor est.)
Fanatics Inc.,3.5,JR. SOFTWARE ENGINEER,"Columbia, MD",2d,$185K - $200K (Employer est.)
"Twitch Interactive, Inc.",3.5,"Computer Science, Software Engineers, Programmers","Jacksonville, FL",30d+,$103K - $149K (Employer est.)
Adtran,3.4,Sr Software Engineer,"New York, NY",30d+,$109K - $141K (Glassdoor est.)
Oncorre,3.8,Software Development Engineer,"Seattle, WA",5d,$76K - $116K (Glassdoor est.)
NMG Technology Services,3.8,Senior Software Engineer,Oregon,5d,$37K - $82K (Employer est.)
Captivation Software,3.7,Software Engineer,"Bridgewater, NJ",30d+,$129K - $159K (Glassdoor est.)
Invisible Technologies,3.7,Software Engineer,"Brooklyn, NY",30d+,$80K - $111K (Glassdoor est.)
Metas Solutions,4.1,Software Engineer 2 - DevOps,"Annapolis Junction, MD",30d+,$95K - $133K (Glassdoor est.)
"GAP Solutions, Inc.",4.0,Senior Software Engineer - Platform,Remote,16d,$130K - $140K (Employer est.)
Independent Software,4.2,Software Quality Assurance Engineer & Tester,"Atlanta, GA",2d,$81K - $118K (Glassdoor est.)
InterImage,4.1,Software QA Engineer and Tester,"Atlanta, GA",24h,$120K - $150K (Employer est.)
Tickets.com,5.0,"Software Integration Engineer, Junior","Fort Meade, MD",30d+,$180K - $260K (Employer est.)
Adobe,4.9,2251 Java & NiFi Software Engineer,"Annapolis Junction, MD",18d,$86K - $111K (Glassdoor est.)
Embecta,3.3,Senior Software Engineer,"Boulder, CO",6d,$40.00 - $45.00 Per Hour (Employer est.)
Tesla,4.2,Senior Software Development Engineer,"San Jose, CA",11d,$74K - $109K (Glassdoor est.)
CVS Health,4.1,"Senior FullStack Software Engineer (hybrid - Andover, MA)","Andover, MA",6d,$108K - $116K (Employer est.)
Space Systems Integration,3.0,"Sr. Software Engineer, Backend, Factory Software","Fremont, CA",4d,$103K - $146K (Glassdoor est.)
Cash App,4.5,Full-Stack Software Developer,"Hartford, CT",17d,$89K - $128K (Glassdoor est.)
Annapurna Labs (U.S.) Inc.,5.0,Software Engineer,"Albuquerque, NM",30d+,$84K (Employer est.)
Index Engines Inc.,3.9,"Software Engineer, Incentive","Seattle, WA",3d,$144K - $198K (Employer est.)
Ford Motor Company,4.4,"Software Dev Engineer - Machine Learning Apps, Accelerator","Cupertino, CA",3d,$160K - $321K (Employer est.)
Q9Software,4.1,React Software Engineer,Colorado,30d+,$97K - $155K (Glassdoor est.)
Squarespace,3.8,Software Engineer,"Dearborn, MI",30d+,$120K - $290K (Employer est.)
"Advanced Micro Devices, Inc",3.4,Software Developer,"Germantown, MD",30d+,$87K - $126K (Glassdoor est.)
InterImage,3.7,"Senior Software Engineer, User Platform (Java)",United States,5d,$129K - $224K (Employer est.)
"Flow Systems, Inc",3.4,Software Development Engineer - AI/ML,"San Jose, CA",30d+,$103K - $141K (Employer est.)
OpenAI,4.6,2128 Software Engineer 1 (Java Focused),"Annapolis Junction, MD",18d,$135K - $155K (Employer est.)
Teradyne,3.8,Software Engineer,"Berthoud, CO",3d,$65K - $118K (Employer est.)
Meta,2.9,"Senior Software Engineer, Search Evaluations","San Francisco, CA",6d,$80K - $94K (Employer est.)
Yellow Duck Technologies Inc.,4.3,Software Performance Engineer,"North Reading, MA",18d,$104K - $348K (Employer est.)
Workday,4.0,Software Engineer - Camera (Technical Leadership),"Redmond, WA",3d,$300K - $450K (Employer est.)
Ops Tech Alliance,4.2,Cleared Junior Software Engineer,"Annapolis Junction, MD",15d,$90K - $126K (Glassdoor est.)
CDK Global,3.7,Principal Software Engineer,"Seattle, WA",30d+,$78K - $102K (Glassdoor est.)
IAB Solutions LLC,3.7,Software Engineer Level 3,"Fort Meade, MD",30d+,$110K - $154K (Employer est.)
General Assembly,4.2,Associate Software Engineer,"Austin, TX",5d,$87K - $171K (Employer est.)
Delta Dental Ins.,4.3,Senior Software Engineer,Whitehall Township,11d,$125K - $160K (Employer est.)
Cotiviti,4.4,Software Engineer Instructor,"Denver, CO",30d+,$83K - $124K (Employer est.)
BOEING,4.1,Senior Software Engineer,"Alpharetta, GA",1d,$74K - $98K (Glassdoor est.)
Braum's,3.9,Sr. DevOps Engineer,Remote,2d,$102K - $159K (Employer est.)
Cummings Aerospace Inc,2.5,Software Engineer - Mid Level,"Annapolis Junction, MD",17d,$115K - $165K (Employer est.)
T.M. Bier & Associates,4.4,Senior Software Engineer,"Oklahoma City, OK",6d,$108K - $216K (Employer est.)
Zelis,3.9,Software Engineer-Mid Level,"Largo, FL",3d,$90K - $145K (Employer est.)
TikTok,3.7,Software Engineer (BMS),United States,9d,$68K - $104K (Glassdoor est.)
Eaton,3.5,Senior Software Engineer - C# & Rust,New Jersey,3d,$72K - $108K (Employer est.)
CVS Health,3.0,"Frontend Software Engineer Graduate, TikTok Infrastructure - 2025 Start (BS/MS)","San Jose, CA",10d,$69K - $120K (Glassdoor est.)
Zoox,3.7,Eaton Development Program: Engineering Technology - Software,"Peachtree City, GA",5d,$72K - $127K (Glassdoor est.)
Radiance Technologies,3.9,Software Development Engineer,"Hartford, CT",30d+,$158K - $205K (Employer est.)
Boston Consulting Group,4.2,Senior Fullstack Software Engineer - Perception Metrics Platform,"San Francisco, CA",19d,$100K - $160K (Employer est.)
Sage,3.5,Full Stack Software Engineer,"Beavercreek, OH",13d,$50.00 - $54.00 Per Hour (Employer est.)
Neurable,4.4,"AI Software Engineer, Campus, United States - BCG X","Los Angeles, CA",4d,$130K - $210K (Employer est.)
ASM International,3.4,"Software Engineer - C#, C++","Lawrenceville, GA",30d+,$115K - $159K (Glassdoor est.)
Galvion,4.0,Senior Software Engineer,"Boston, MA",9d,$138K - $192K (Glassdoor est.)
Prophet Software,3.6,Field Software Support Engineer,"Hillsboro, OR",30d+,$89K - $129K (Glassdoor est.)
Ansira,4.1,Associate Software Engineer (on-site),"Portsmouth, NH",1d,$130K - $150K (Employer est.)
Elder Research,4.7,Software Developer,"Westlake Village, CA",16d,$177K - $251K (Employer est.)
3 Reasons Consulting,3.9,Full Stack Software Engineer,Washington State,11d,$100K - $158K (Glassdoor est.)
"AB2 Consulting, Inc.",3.2,Backend Software Engineer,"Fort George G Meade, MD",30d+,$168K - $253K (Employer est.)
University of Maryland,4.1,Software Engineer II,"San Diego, CA",30d+,$167K - $296K (Employer est.)
CPI Card Group,3.6,"Software Development Engineer in Test (SDET) / Okemos, MI (Hybrid)","Okemos, MI",10d,$136K - $200K (Employer est.)
Simplot,3.8,Research Software and Data Engineer,"College Park, MD",5d,$35.00 - $50.00 Per Hour (Employer est.)
Walmart Advanced Systems and Robotics,4.1,Software Process Engineer,"Fort Wayne, IN",30d+,$118K - $142K (Employer est.)
Fanatics Inc.,3.5,Software Engineer,"Boise, ID",12d,$109K - $219K (Employer est.)
GE HEALTHCARE,4.0,Senior Software Engineer – Emulation,"Andover, MA",25d,$64K - $113K (Glassdoor est.)
NORC at the University of Chicago,4.1,"Software Engineer II, Android",United States,30d+,$104K - $166K (Employer est.)
WSSC Water,5.0,Software Engineer,"Washington, DC",30d+,$181K - $212K (Employer est.)
RVO Health,4.0,Cloud Engineer,"Chicago, IL",5d,$91K - $119K (Glassdoor est.)
Wisenbaker Builder Services,3.8,"Engineering Software Administrator (e-Builder, Primavera P6)","Laurel, MD",2d,$70K - $115K (Employer est.)
Optum,3.0,2025 Early Career Program: Software Engineering,"Charlotte, NC",4d,$124K - $211K (Employer est.)
SoFi,3.9,CAD Software Engineer (Cabinets),"Hillsboro, TX",12d,$161K - $253K (Employer est.)
Fanatics Inc.,4.1,"Senior AI/ML Software Engineer, Java - Remote","Eden Prairie, MN",3d,$90K - $140K (Employer est.)
Micron,3.4,"Staff Software Engineer, At Work","Seattle, WA",2d,$123K - $175K (Employer est.)
Boeing,3.5,Software Engineer II,"New York, NY",18d,$81K - $131K (Glassdoor est.)
bellelynn,3.6,IT Software Engineer,"Boise, ID",30d+,$77K - $104K (Glassdoor est.)
Bertrandt,3.8,Software Engineer 3 - Front End (contract),"El Segundo, CA",3d,$125K - $208K (Employer est.)
Amazon.com Services LLC,3.7,Sr Software Engineer,"Columbia, MD",3d,$80K - $113K (Glassdoor est.)
Salesforce,4.0,Automotive Software Engineer,"Sterling Heights, MI",30d+,$129K - $224K (Employer est.)
Ford Motor Company,4.2,"Front End Engineer, Sponsored Brands - Fixed","New York, NY",4d,$92K - $133K (Glassdoor est.)
EAI Technologies,3.8,Software Engineering LMTS,"Bellevue, WA",4d,$105K - $130K (Glassdoor est.)
Mahlet,4.1,Software Engineer - Global Order Bank,"Dearborn, MI",16d,$62K - $89K (Glassdoor est.)
New River Systems Corporation,4.4,Physics/Math Graduate - Entry Level Software Developer,"Vienna, VA",30d+,$110K - $145K (Employer est.)
REV Robotics,4.6,Software Engineer,"Burtonsville, MD",16d,$116K - $128K (Employer est.)
"IntelliGenesis, LLC",4.1,OneStream Software Systems Engineer,United States,17d,$111K - $184K (Employer est.)
Enersys,3.6,SENIOR SOFTWARE ENGINEER,"Carrollton, TX",5d,$138K - $297K (Employer est.)
University of Washington,4.7,Full Stack Software Engineer Level 1,"Arlington, VA",30d+,$109K - $145K (Glassdoor est.)
Hewlett Packard,3.8,Product Engineer I,"Longmont, CO",24h,$97K - $133K (Glassdoor est.)
Movius Interactive Corporation,3.4,SOFTWARE ENGINEER,"Seattle, WA",30d+,$100K - $145K (Employer est.)
Noblis,4.1,Cloud Software Development Engineer,"Fort Collins, CO",11d,$86K - $129K (Glassdoor est.)
CEDENT,3.7,Software Engineer - Backend Voice,"Fremont, CA",1d,$53K - $96K (Glassdoor est.)
Bank of America,3.5,Software Engineer (All Levels),"McLean, VA",30d+,$75K - $131K (Employer est.)
LinQuest Corporation,4.3,"Software System Engineer (C++, JAVA background)","Warren, MI",30d+,$119K - $173K (Glassdoor est.)
Hewlett Packard,3.5,Software Engineer II,"Charlotte, NC",3d,$97K - $126K (Glassdoor est.)
Oracle,4.0,Ground Software Engineer,Virginia,11d,$84K - $106K (Glassdoor est.)
Federal Reserve Bank of Boston,4.1,Experienced Front-End Engineer,"Fort Collins, CO",14d,$81K - $109K (Glassdoor est.)
Collins Aerospace,3.5,Software Developer,"Austin, TX",2d,$166K - $228K (Employer est.)
Apriva,3.9,Full-Stack Software Engineer – Digital Money and Payments Research & Development,"Boston, MA",30d+,$154K - $279K (Employer est.)
ASEC,3.9,Software Engineering Co-op (Summer/Fall 2025) (Onsite),"Cedar Rapids, IA",2d,$115K - $154K (Employer est.)
T. Rowe Price,4.6,Software Engineer IV,"Phoenix, AZ",27d,$66K - $109K (Glassdoor est.)
S&S Activewear LLC,3.8,Software Engineer,"Patuxent River, MD",16d,$116K - $204K (Employer est.)
Peterson Technologies,4.0,Software Engineer,"Owings Mills, MD",23d,$102K - $150K (Glassdoor est.)
"LongPath Technologies, Inc.",3.7,Senior Software Engineer (Hybrid Available),"Bolingbrook, IL",22d,$139K - $184K (Glassdoor est.)
Gradient,4.0,Mid Level Software Engineer,"Hanover, MD",30d+,$94K - $118K (Glassdoor est.)
Amazon.com Services LLC,4.2,Senior Software Engineer,"Boulder, CO",18d,$94K - $136K (Glassdoor est.)
ENVISN INCORPORATED,3.7,Senior Software Engineer,"Burlingame, CA",2d,$126K - $265K (Employer est.)
Intersoft Data Labs,3.5,"Software Development Engineer II, Sort Tech","Tempe, AZ",3d,$100K - $135K (Glassdoor est.)
Digital Insight Printing,4.1,Software Quality Assurance (Tester) Engineer,"Indianola, PA",9d,$175K - $209K (Employer est.)
Teradyne,3.6,Software Engineer (Onsite),"Columbia, MD",25d,$248K - $385K (Employer est.)
Beshenich Muir & Associates Llc,4.6,Magento Developer,Remote,24h,$91K - $152K (Employer est.)
Powermind Solutions,4.6,Software Machine Learning Engineer,"North Reading, MA",3d,$129K - $193K (Employer est.)
Plaid,3.7,Software Systems Engineer,"Fort Belvoir, VA",30d+,$98K - $135K (Glassdoor est.)
"Grammarly, Inc.",3.2,Software Developer,Georgia,4d,$114K - $149K (Glassdoor est.)
ShipperHQ,4.0,Software Engineer - Credit,"San Francisco, CA",30d+,$130K - $236K (Employer est.)
Bryn Neil,3.6,"Software Engineer, Back-End",United States,30d+,$144K - $288K (Employer est.)
DCS Corp,3.9,Sr. Software Engineer - Site Reliability,"Austin, TX",16d,$49K - $84K (Glassdoor est.)
Bank of America,3.4,Cleared Software Engineer,"Denver, CO",3d,$129K - $224K (Employer est.)
"Amazon Web Services, Inc.",3.8,Software Developer,Maryland,3d,$118K - $184K (Glassdoor est.)
"Bio-Rad Laboratories, Inc.",4.1,Data Center Services - Software Engineer,"Plano, TX",8d,$86K - $116K (Glassdoor est.)
"Audacy, Inc.",4.8,"Software Dev Engineer, L5 , SFSC Integrations","Seattle, WA",23d,$124K - $234K (Employer est.)
CyberKorp,4.2,Software Developer in Test,"Hercules, CA",10d,$80K - $119K (Employer est.)
Leidos,3.5,Senior Software Engineer,"Denver, CO",4d,$88K (Employer est.)
Boeing Intelligence & Analytics,3.4,"Software Developers – Multiple openings – Bloomingdale, IL",United States,30d+,$55K (Employer est.)
Tesla,4.1,Junior Java Software Engineer,"Fort Meade, MD",30d+,$234K - $284K (Employer est.)
OpenAI,3.1,Apprentice ETL Software Engineer,"Elkridge, MD",30d+,$160K - $385K (Employer est.)
NCR Atleos,3.9,"Software Engineer, Tool & Infrastructure, Reliability & Test","Palo Alto, CA",1d,$222K (Employer est.)
Electronic Warfare Associates,3.8,"Software Engineer, Engineering Acceleration","San Francisco, CA",5d,$82K - $118K (Glassdoor est.)
"BillGO, Inc.",3.3,ATM Software Engineer (Level III),"Frisco, TX",30d+,$69K - $107K (Glassdoor est.)
Genesys,3.6,Software Engineer,"Mount Laurel, NJ",30d+,$95K - $143K (Employer est.)
January Technologies,4.5,Software Engineer III,"Fort Collins, CO",12d,
Zebra Technologies,4.1,JavaScript Software Engineer – Analytics UI Team,"Indianapolis, IN",4d,
Credit One Bank,3.8,"Software Engineer, Borrower Activation",United States,12d,
Visa,3.8,"DevSecOps Software Engineer, II","Holtsville, NY",30d+,
Foot Locker,4.6,Software Engineer I,"Las Vegas, NV",8d,
LegalZoom,3.8,Sr. SW Engineer,"Bellevue, WA",20d,
"Red Hat, Inc.",2.7,"Lead Software Engineer, Integrations (Boomi)","Dallas, TX",30d+,
"Turn5, Inc.",3.5,"Senior Software Engineer, iOS","Glendale, CA",10d,
University of Nebraska Medical Center,4.5,Software Integration Engineer,"Raleigh, NC",10d,
Michelin,4.0,Software Developer,"Paoli, PA",15d,
Ren Global Inc.,4.1,Software Engineer II,"Omaha, NE",4d,
Ford Motor Company,3.1,Trainee Automation Engineer,"Ela, NC",3d,
BOEING,3.7,Sr. Software Engineer,Remote,8d,
Disney,3.7,Software Engineer,"Santa Fe Springs, CA",30d+,
Super Micro Computer,3.4,Full Stack Software Engineer - Mid-Level,,2d,
AVA Counsulting,4.2,"Software Engineer, Tools GPU (Core)","Emeryville, CA",15d,
Workday,4.0,Software Engineer - Applied AI,"San Jose, CA",30d+,
Cubesmart,4.0,Automated Driving Software Engineer,"Ann Arbor, MI",13d,
SimpliSafe,2.9,"Software Development Engineer, DevOps (US Federal)","McLean, VA",6d,
Inspire Brands,3.7,Senior Software Engineer,"Malvern, PA",10d,
FINSYNC,4.4,"Senior Software Engineer, ML Ops","Boston, MA",9d,
Deluxe Media,3.5,Software Engineer,"Atlanta, GA",2d,
Meta,3.7,Senior Software Engineer (Ruby),"Kennesaw, GA",1d,
Liquibase,3.8,Software Engineer,"Burbank, CA",30d+,
Afterpay,4.8,"Software Engineer, Gameplay - Reality Labs","New York, NY",30d+,
Apple,,"Site Reliability Engineer (Remote, US-based)","Austin, TX",3d,
YouTube,,Senior Software Engineer,"Milwaukee, WI",12d,
Kasmo Inc,,"AIML - Software Engineer, Information Intelligence","Seattle, WA",1d,
Systems Technology & Research Inc.,,"Software Engineer III, Machine Learning (Recommendations, Rankings, and Predictions), YouTube","Mountain View, CA",3d,
Timescale,,PLC Software Engineer,"Detroit, MI",18d,
InterImage,,Software Engineer,United States,30d+,
